menu_id,menu_name,feature_id,feature_name,description,status,priority,notes
1,Dashboard (Analisis Donatur),1.1,Stats Cards,Total Donasi/Transaksi/Donatur Aktif/Rata-rata,completed,high,Sudah ada di index.blade.php
1,Dashboard (Analisis Donatur),1.2,Chart Perolehan Bulanan,Bar chart perbandingan per bulan,completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.3,Chart per CS,Doughnut chart distribusi per CS,completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.4,Chart Kategori Donasi,Pie chart (Cross Selling/Infaq/Wakaf/dll),completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.5,Chart Program,Bar chart distribusi program,completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.6,Tabel Data Donatur,List transaksi dengan pagination,completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.7,Filter Lengkap,Tahun/Tim/CS/Kategori/Status/Date Range,completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.8,Export Excel,Export data ke Excel,completed,high,Sudah ada
1,Dashboard (Analisis Donatur),1.9,Sidebar Navigation,Menu navigasi dengan submenu,completed,high,Sudah ada
2,Donatur,2.1,Halaman List,Tabel daftar donatur dengan pagination,not_started,high,
2,Donatur,2.2,Search & Filter,Cari nama/no HP + filter tidak donasi 2minggu/1bulan/2bulan/1tahun,not_started,high,
2,Donatur,2.3,Form Create,Form tambah donatur baru,not_started,high,
2,Donatur,2.4,Form Edit,Form edit data donatur,not_started,high,
2,Donatur,2.5,Delete Action,Hapus donatur dengan konfirmasi,not_started,medium,
2,Donatur,2.6,WhatsApp Button,Tombol buka chat WA langsung,not_started,high,
2,Donatur,2.7,Detail Modal,Modal detail info donatur + riwayat donasi,not_started,medium,
3,Customer Service,3.1,Halaman List CS,Tabel daftar CS dengan pagination,not_started,high,
3,Customer Service,3.2,Form Create/Edit CS,Form tambah/edit CS,not_started,high,
3,Customer Service,3.3,Delete CS,Hapus CS dengan konfirmasi,not_started,medium,
3,Customer Service,3.4,Performa Bulanan 2024,Tabel agregat perolehan per CS per bulan 2024,not_started,high,
3,Customer Service,3.5,Performa Bulanan 2025,Tabel agregat perolehan per CS per bulan 2025,not_started,high,
3,Customer Service,3.6,Chart Performa,Visualisasi chart performa CS,not_started,medium,
4,Laporan Perolehan,4.1,Halaman List,Tabel realtime laporan dengan pagination,not_started,high,
4,Laporan Perolehan,4.2,Form Create,Form input transaksi harian lengkap,not_started,high,
4,Laporan Perolehan,4.3,Auto-fill Donatur,Input no HP otomatis isi data donatur,not_started,high,
4,Laporan Perolehan,4.4,Form Edit,Form edit laporan,not_started,high,
4,Laporan Perolehan,4.5,Delete Action,Hapus laporan dengan konfirmasi,not_started,medium,
4,Laporan Perolehan,4.6,Filter Lengkap,Filter tanggal/jumlah donasi/CS,not_started,high,
4,Laporan Perolehan,4.7,Export Excel,Export dengan filter ke Excel,not_started,high,
5,Laporan Bulanan,5.1,Halaman List 2025,Tabel agregat bulanan 2025,not_started,medium,
5,Laporan Bulanan,5.2,Filter Tahun,Switch antara tahun,not_started,medium,
6,Laporan Ramadhan,6.1,Perbandingan CS,Tabel perbandingan 2024 vs 2025 per CS,not_started,medium,
6,Laporan Ramadhan,6.2,Perbandingan Tim,Tabel perbandingan 2024 vs 2025 per Tim,not_started,medium,
6,Laporan Ramadhan,6.3,Filter Hari Ramadhan,Filter per hari 1-30 Ramadhan,not_started,medium,
6,Laporan Ramadhan,6.4,Target Persentase,Tampilkan persentase terhadap target 1.8M,not_started,medium,
7,Kwitansi v1,7.1,Halaman List,Tabel daftar kwitansi v1,not_started,medium,
7,Kwitansi v1,7.2,Form Create/Edit,Form input kwitansi sederhana,not_started,medium,
7,Kwitansi v1,7.3,Filter Hari Ini,Filter tampilkan data hari ini,not_started,low,
7,Kwitansi v1,7.4,Download PDF,Generate dan download PDF kwitansi,not_started,high,
8,Kwitansi v2,8.1,Halaman List,Tabel daftar kwitansi v2,not_started,medium,
8,Kwitansi v2,8.2,Form Create/Edit,Form input 5 slot donasi + auto calculate,not_started,medium,
8,Kwitansi v2,8.3,Auto Calculate Total,Hitung otomatis total dari 5 donasi,not_started,medium,
8,Kwitansi v2,8.4,Terbilang,Konversi angka ke teks,not_started,medium,
8,Kwitansi v2,8.5,Download PDF,Generate dan download PDF kwitansi,not_started,high,
9,Data Pegawai,9.1,Halaman List,Tabel daftar pegawai,not_started,medium,
9,Data Pegawai,9.2,Form Create/Edit,Form input data pegawai lengkap,not_started,medium,
9,Data Pegawai,9.3,Delete Action,Hapus pegawai dengan konfirmasi,not_started,low,
10,Absensi,10.1,Halaman List,Tabel absensi dengan filter tanggal,not_started,medium,
10,Absensi,10.2,Form Create/Edit,Form input absensi + upload foto,not_started,medium,
10,Absensi,10.3,Filter Rentang Tanggal,Filter from/until tanggal,not_started,medium,
10,Absensi,10.4,Geolocation,Capture dan tampilkan latitude/longitude,not_started,low,
10,Absensi,10.5,Foto Absensi,Upload dan tampilkan foto,not_started,medium,
11,Partnership,11.1,Halaman List,Tabel daftar partnership,not_started,low,
11,Partnership,11.2,Form Create/Edit,Form input partnership + pilihan 40 bank,not_started,low,
11,Partnership,11.3,Delete Action,Hapus partnership,not_started,low,
12,Penyebaran Toko,12.1,Halaman List,Tabel penyebaran kencleng,not_started,low,
12,Penyebaran Toko,12.2,Form Create/Edit,Form input toko + upload foto,not_started,low,
12,Penyebaran Toko,12.3,Status Badge,Badge Diterima/Ditolak,not_started,low,
12,Penyebaran Toko,12.4,Filter Status/Tanggal,Filter berdasarkan status dan tanggal,not_started,low,
12,Penyebaran Toko,12.5,Export Excel,Export dengan filter,not_started,low,
12,Penyebaran Toko,12.6,Geolocation,Capture latitude/longitude toko,not_started,low,
13,User Management,13.1,Halaman List,Tabel daftar user,not_started,medium,
13,User Management,13.2,Form Create/Edit,Form input user + password,not_started,medium,
13,User Management,13.3,Delete Action,Hapus user dengan konfirmasi,not_started,low,
